origin_country,predicted_label,publish_date
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,1,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,2,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,2,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,2,2022-02
China,2,2022-02
China,2,2022-02
China,2,2022-02
China,0,2022-02
China,2,2022-02
China,2,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,1,2022-02
China,2,2022-02
China,0,2022-02
China,2,2022-02
China,1,2022-02
China,2,2022-02
China,0,2022-02
China,2,2022-02
China,2,2022-02
China,2,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
China,2,2022-02
China,0,2022-02
China,2,2022-02
China,2,2022-02
China,2,2022-02
China,2,2022-02
China,0,2022-02
China,0,2022-02
China,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,2,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,1,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,1,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,2,2022-02
Japan,0,2022-02
Japan,1,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,2,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,2,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,2,2022-02
Japan,2,2022-02
Japan,2,2022-02
Japan,0,2022-02
Japan,1,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,2,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,1,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,2,2022-02
Japan,2,2022-02
Japan,2,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,0,2022-02
Japan,2,2022-02
Japan,2,2022-02
Japan,2,2022-02
Japan,0,2022-02
Japan,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,1,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,1,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,1,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,1,2022-02
Germany,2,2022-02
Germany,0,2022-02
Germany,0,2022-02
Germany,2,2022-02
